head,relation,tail
author::N6RJilIAAAAJ,writes,paper::131
paper::131,has topic,topic::28
paper::131,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::132
paper::132,has topic,topic::29
paper::132,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::133
paper::133,has topic,topic::29
paper::133,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::134
paper::134,has topic,topic::28
paper::134,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::7EQjv9wAAAAJ,writes,paper::135
author::N6RJilIAAAAJ,writes,paper::135
author::t5f89iIAAAAJ,writes,paper::135
paper::135,has topic,topic::28
paper::135,published in,journal::International Joint Conference on Science and Engineering (IJCSE)
author::N6RJilIAAAAJ,writes,paper::136
author::LsydBAMAAAAJ,writes,paper::136
author::8wFXNjYAAAAJ,writes,paper::136
author::hn5jrnAAAAAJ,writes,paper::136
author::CxdwNaYAAAAJ,writes,paper::136
paper::136,has topic,topic::28
paper::136,published in,journal::Third International Conference on Vocational Education and Electrical
author::cPj-iOIAAAAJ,writes,paper::137
author::7EQjv9wAAAAJ,writes,paper::137
author::N6RJilIAAAAJ,writes,paper::137
author::WdhKN0sAAAAJ,writes,paper::137
author::hn5jrnAAAAAJ,writes,paper::137
paper::137,has topic,topic::28
paper::137,published in,journal::International Seminar on Application for Technology of Information and
author::N6RJilIAAAAJ,writes,paper::138
paper::138,has topic,topic::0
paper::138,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::139
paper::139,has topic,topic::0
paper::139,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::140
paper::140,has topic,topic::29
paper::140,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::eEtHoOAAAAAJ,writes,paper::141
author::N6RJilIAAAAJ,writes,paper::141
author::WdhKN0sAAAAJ,writes,paper::141
author::CxdwNaYAAAAJ,writes,paper::141
paper::141,has topic,topic::5
paper::141,published in,journal::JIEET (Journal of Information Engineering and Educational Technology)
author::N6RJilIAAAAJ,writes,paper::142
paper::142,has topic,topic::18
paper::142,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::LsydBAMAAAAJ,writes,paper::143
author::N6RJilIAAAAJ,writes,paper::143
paper::143,has topic,topic::24
paper::143,published in,journal::Indonesian Journal of Engineering and Technology (INAJET)
author::OffRzhoAAAAJ,writes,paper::144
author::N6RJilIAAAAJ,writes,paper::144
paper::144,has topic,topic::0
paper::144,published in,"journal::Journal Information Engineering and Educational Technology), 869X"
author::N6RJilIAAAAJ,writes,paper::145
paper::145,has topic,topic::28
paper::145,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::eEtHoOAAAAAJ,writes,paper::146
author::N6RJilIAAAAJ,writes,paper::146
author::WdhKN0sAAAAJ,writes,paper::146
author::CxdwNaYAAAAJ,writes,paper::146
paper::146,has topic,topic::5
paper::146,published in,journal::Prosiding Semnas PPM 2018
author::YADiqesAAAAJ,writes,paper::147
author::N6RJilIAAAAJ,writes,paper::147
paper::147,has topic,topic::45
paper::147,published in,journal::registration
author::N6RJilIAAAAJ,writes,paper::148
author::LeRoniwAAAAJ,writes,paper::148
paper::148,has topic,topic::56
paper::148,published in,journal::Jurnal Manajemen Informatika
author::N6RJilIAAAAJ,writes,paper::149
author::CxdwNaYAAAAJ,writes,paper::149
author::eEtHoOAAAAAJ,writes,paper::149
author::WdhKN0sAAAAJ,writes,paper::149
paper::149,has topic,topic::5
paper::149,published in,journal::Zifatama Jawara
author::eEtHoOAAAAAJ,writes,paper::150
author::N6RJilIAAAAJ,writes,paper::150
author::WdhKN0sAAAAJ,writes,paper::150
author::CxdwNaYAAAAJ,writes,paper::150
paper::150,has topic,topic::5
paper::150,published in,journal::IOP conference series: materials science and engineering
author::N6RJilIAAAAJ,writes,paper::151
author::6MXDzBQAAAAJ,writes,paper::151
author::YADiqesAAAAJ,writes,paper::151
paper::151,has topic,topic::27
paper::151,published in,journal::Advanced Science Letters
author::N6RJilIAAAAJ,writes,paper::152
paper::152,has topic,topic::34
paper::152,published in,journal::Jurnal Manajemen Informatika
author::N6RJilIAAAAJ,writes,paper::153
paper::153,has topic,topic::46
paper::153,published in,journal::Jurnal Manajemen Informatika
author::N6RJilIAAAAJ,writes,paper::154
paper::154,has topic,topic::57
paper::154,published in,journal::Seminar Nasional Riset Terapa
author::N6RJilIAAAAJ,writes,paper::155
paper::155,has topic,topic::53
paper::155,published in,journal::Prosiding SNRT (Seminar Nasional Riset Terapan)
author::N6RJilIAAAAJ,writes,paper::156
paper::156,has topic,topic::47
paper::156,published in,journal::Jurnal Manajemen Informatika
author::N6RJilIAAAAJ,writes,paper::157
paper::157,has topic,topic::28
paper::157,published in,journal::Jurnal Manajemen Informatika
author::N6RJilIAAAAJ,writes,paper::158
paper::158,has topic,topic::27
paper::158,published in,journal::S@ CIES
author::N6RJilIAAAAJ,writes,paper::159
paper::159,has topic,topic::33
paper::159,published in,journal::Jurnal Manajemen Informatika
author::N6RJilIAAAAJ,writes,paper::160
paper::160,has topic,topic::29
paper::160,published in,journal::Jurnal Manajemen Informatika
author::N6RJilIAAAAJ,writes,paper::161
paper::161,has topic,topic::0
paper::161,published in,journal::Jurnal Manajemen Informatika
author::lFCI_vsAAAAJ,writes,paper::162
author::7EQjv9wAAAAJ,writes,paper::162
author::N6RJilIAAAAJ,writes,paper::162
author::8wFXNjYAAAAJ,writes,paper::162
author::hn5jrnAAAAAJ,writes,paper::162
paper::162,has topic,topic::39
paper::162,published in,journal::Jurnal Nasional Teknik Elektro Dan Teknologi Informasi
author::N6RJilIAAAAJ,writes,paper::163
author::t5f89iIAAAAJ,writes,paper::163
paper::163,has topic,topic::55
paper::163,published in,"journal::Zifatama Jawara, 0"
author::N6RJilIAAAAJ,writes,paper::164
paper::164,has topic,topic::56
paper::164,published in,journal::Internal
author::hn5jrnAAAAAJ,writes,paper::165
paper::165,has topic,topic::24
paper::165,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::hn5jrnAAAAAJ,writes,paper::166
paper::166,has topic,topic::27
paper::166,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::hn5jrnAAAAAJ,writes,paper::167
author::CxdwNaYAAAAJ,writes,paper::167
paper::167,has topic,topic::28
paper::167,published in,journal::Journal of Education and Informatics Research
author::hn5jrnAAAAAJ,writes,paper::168
paper::168,has topic,topic::53
paper::168,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::hn5jrnAAAAAJ,writes,paper::169
author::WdhKN0sAAAAJ,writes,paper::169
paper::169,has topic,topic::28
paper::169,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::hn5jrnAAAAAJ,writes,paper::170
author::cPj-iOIAAAAJ,writes,paper::170
paper::170,has topic,topic::12
paper::170,published in,journal::Journal of Applied Informatics and Computing
