head,relation,tail
author::tzjThtIAAAAJ,writes,paper::6158
paper::6158,has topic,topic::27
paper::6158,published in,journal::ICACSIS 2011 - 2011 International Conference on Advanced Computer Science and Information Systems
author::Smb2eg8AAAAJ,writes,paper::6159
paper::6159,has topic,topic::13
paper::6159,published in,journal::ICACSIS 2011 - 2011 International Conference on Advanced Computer Science and Information Systems
author::N6RJilIAAAAJ,coauthored journal,author::RvG7jG4AAAAJ
author::N6RJilIAAAAJ,coauthored journal,author::WdhKN0sAAAAJ
author::N6RJilIAAAAJ,coauthored journal,author::cPj-iOIAAAAJ
author::N6RJilIAAAAJ,coauthored journal,author::hn5jrnAAAAAJ
author::RvG7jG4AAAAJ,coauthored journal,author::WdhKN0sAAAAJ
author::RvG7jG4AAAAJ,coauthored journal,author::cPj-iOIAAAAJ
author::RvG7jG4AAAAJ,coauthored journal,author::hn5jrnAAAAAJ
author::WdhKN0sAAAAJ,coauthored journal,author::cPj-iOIAAAAJ
author::WdhKN0sAAAAJ,coauthored journal,author::hn5jrnAAAAAJ
author::cPj-iOIAAAAJ,coauthored journal,author::hn5jrnAAAAAJ
author::Jzuk6doAAAAJ,coauthored journal,author::RES4QIQAAAAJ
author::Jzuk6doAAAAJ,coauthored journal,author::WdhKN0sAAAAJ
author::RES4QIQAAAAJ,coauthored journal,author::WdhKN0sAAAAJ
author::WdhKN0sAAAAJ,coauthored journal,author::fkxhjZ4AAAAJ
author::Em3aIV0AAAAJ,coauthored journal,author::WdhKN0sAAAAJ
author::Em3aIV0AAAAJ,coauthored journal,author::fkxhjZ4AAAAJ
author::Em3aIV0AAAAJ,coauthored journal,author::q24bD6AAAAAJ
author::WdhKN0sAAAAJ,coauthored journal,author::q24bD6AAAAAJ
author::fkxhjZ4AAAAJ,coauthored journal,author::q24bD6AAAAAJ
author::RvG7jG4AAAAJ,coauthored journal,author::eEtHoOAAAAAJ
author::WdhKN0sAAAAJ,coauthored journal,author::eEtHoOAAAAAJ
author::cPj-iOIAAAAJ,coauthored journal,author::eEtHoOAAAAAJ
author::8wFXNjYAAAAJ,coauthored journal,author::WdhKN0sAAAAJ
author::WdhKN0sAAAAJ,coauthored journal,author::b81qaDkAAAAJ
author::Thp8jg0AAAAJ,coauthored journal,author::WdhKN0sAAAAJ
author::Thp8jg0AAAAJ,coauthored journal,author::_n2j0ZAAAAAJ
author::WdhKN0sAAAAJ,coauthored journal,author::_n2j0ZAAAAAJ
author::Em3aIV0AAAAJ,coauthored conference,author::N6RJilIAAAAJ
author::Em3aIV0AAAAJ,coauthored conference,author::RvG7jG4AAAAJ
author::Em3aIV0AAAAJ,coauthored conference,author::bTjH6IgAAAAJ
author::Em3aIV0AAAAJ,coauthored conference,author::cPj-iOIAAAAJ
author::Em3aIV0AAAAJ,coauthored conference,author::hn5jrnAAAAAJ
author::N6RJilIAAAAJ,coauthored conference,author::RvG7jG4AAAAJ
author::N6RJilIAAAAJ,coauthored conference,author::bTjH6IgAAAAJ
author::N6RJilIAAAAJ,coauthored conference,author::cPj-iOIAAAAJ
author::N6RJilIAAAAJ,coauthored conference,author::hn5jrnAAAAAJ
author::RvG7jG4AAAAJ,coauthored conference,author::bTjH6IgAAAAJ
author::RvG7jG4AAAAJ,coauthored conference,author::cPj-iOIAAAAJ
author::RvG7jG4AAAAJ,coauthored conference,author::hn5jrnAAAAAJ
author::bTjH6IgAAAAJ,coauthored conference,author::cPj-iOIAAAAJ
author::bTjH6IgAAAAJ,coauthored conference,author::hn5jrnAAAAAJ
author::cPj-iOIAAAAJ,coauthored conference,author::hn5jrnAAAAAJ
author::N6RJilIAAAAJ,coauthored journal,author::nyyfjCgAAAAJ
author::cPj-iOIAAAAJ,coauthored journal,author::nyyfjCgAAAAJ
author::hn5jrnAAAAAJ,coauthored journal,author::nyyfjCgAAAAJ
author::N6RJilIAAAAJ,coauthored journal,author::fkxhjZ4AAAAJ
author::8wFXNjYAAAAJ,coauthored journal,author::CxdwNaYAAAAJ
author::8wFXNjYAAAAJ,coauthored journal,author::N6RJilIAAAAJ
author::8wFXNjYAAAAJ,coauthored journal,author::hn5jrnAAAAAJ
author::8wFXNjYAAAAJ,coauthored journal,author::t5f89iIAAAAJ
author::CxdwNaYAAAAJ,coauthored journal,author::N6RJilIAAAAJ
author::CxdwNaYAAAAJ,coauthored journal,author::hn5jrnAAAAAJ
author::CxdwNaYAAAAJ,coauthored journal,author::t5f89iIAAAAJ
author::N6RJilIAAAAJ,coauthored journal,author::t5f89iIAAAAJ
author::hn5jrnAAAAAJ,coauthored journal,author::t5f89iIAAAAJ
author::7EQjv9wAAAAJ,coauthored journal,author::N6RJilIAAAAJ
author::7EQjv9wAAAAJ,coauthored journal,author::hn5jrnAAAAAJ
author::7EQjv9wAAAAJ,coauthored journal,author::t5f89iIAAAAJ
author::7EQjv9wAAAAJ,coauthored conference,author::N6RJilIAAAAJ
author::7EQjv9wAAAAJ,coauthored conference,author::t5f89iIAAAAJ
author::N6RJilIAAAAJ,coauthored conference,author::t5f89iIAAAAJ
author::8wFXNjYAAAAJ,coauthored conference,author::CxdwNaYAAAAJ
author::8wFXNjYAAAAJ,coauthored conference,author::LsydBAMAAAAJ
author::8wFXNjYAAAAJ,coauthored conference,author::N6RJilIAAAAJ
author::8wFXNjYAAAAJ,coauthored conference,author::hn5jrnAAAAAJ
author::CxdwNaYAAAAJ,coauthored conference,author::LsydBAMAAAAJ
author::CxdwNaYAAAAJ,coauthored conference,author::N6RJilIAAAAJ
author::CxdwNaYAAAAJ,coauthored conference,author::hn5jrnAAAAAJ
author::LsydBAMAAAAJ,coauthored conference,author::N6RJilIAAAAJ
author::LsydBAMAAAAJ,coauthored conference,author::hn5jrnAAAAAJ
author::7EQjv9wAAAAJ,coauthored journal,author::WdhKN0sAAAAJ
author::7EQjv9wAAAAJ,coauthored journal,author::cPj-iOIAAAAJ
author::CxdwNaYAAAAJ,coauthored journal,author::WdhKN0sAAAAJ
author::CxdwNaYAAAAJ,coauthored journal,author::eEtHoOAAAAAJ
author::N6RJilIAAAAJ,coauthored journal,author::eEtHoOAAAAAJ
author::LsydBAMAAAAJ,coauthored journal,author::N6RJilIAAAAJ
author::N6RJilIAAAAJ,coauthored journal,author::OffRzhoAAAAJ
author::N6RJilIAAAAJ,coauthored journal,author::YADiqesAAAAJ
author::LeRoniwAAAAJ,coauthored journal,author::N6RJilIAAAAJ
author::6MXDzBQAAAAJ,coauthored journal,author::N6RJilIAAAAJ
author::6MXDzBQAAAAJ,coauthored journal,author::YADiqesAAAAJ
author::7EQjv9wAAAAJ,coauthored journal,author::8wFXNjYAAAAJ
author::7EQjv9wAAAAJ,coauthored journal,author::lFCI_vsAAAAJ
author::8wFXNjYAAAAJ,coauthored journal,author::lFCI_vsAAAAJ
author::N6RJilIAAAAJ,coauthored journal,author::lFCI_vsAAAAJ
author::hn5jrnAAAAAJ,coauthored journal,author::lFCI_vsAAAAJ
author::bTjH6IgAAAAJ,coauthored journal,author::hn5jrnAAAAAJ
author::6MXDzBQAAAAJ,coauthored conference,author::cPj-iOIAAAAJ
author::6MXDzBQAAAAJ,coauthored conference,author::hn5jrnAAAAAJ
author::JsEkeOsAAAAJ,coauthored journal,author::hn5jrnAAAAAJ
author::CxdwNaYAAAAJ,coauthored journal,author::TB0QfMoAAAAJ
author::CxdwNaYAAAAJ,coauthored journal,author::Tp_X_bYAAAAJ
author::CxdwNaYAAAAJ,coauthored journal,author::lmlBHlsAAAAJ
author::TB0QfMoAAAAJ,coauthored journal,author::Tp_X_bYAAAAJ
author::TB0QfMoAAAAJ,coauthored journal,author::hn5jrnAAAAAJ
author::TB0QfMoAAAAJ,coauthored journal,author::lmlBHlsAAAAJ
author::Tp_X_bYAAAAJ,coauthored journal,author::hn5jrnAAAAAJ
author::Tp_X_bYAAAAJ,coauthored journal,author::lmlBHlsAAAAJ
author::hn5jrnAAAAAJ,coauthored journal,author::lmlBHlsAAAAJ
author::aW1lSOYAAAAJ,coauthored journal,author::hn5jrnAAAAAJ
author::8wFXNjYAAAAJ,coauthored journal,author::LsydBAMAAAAJ
author::8wFXNjYAAAAJ,coauthored journal,author::OffRzhoAAAAJ
author::LsydBAMAAAAJ,coauthored journal,author::OffRzhoAAAAJ
author::LsydBAMAAAAJ,coauthored journal,author::hn5jrnAAAAAJ
author::OffRzhoAAAAJ,coauthored journal,author::hn5jrnAAAAAJ
author::Iq3gzh4AAAAJ,coauthored journal,author::WdhKN0sAAAAJ
author::-BuJoD0AAAAJ,coauthored journal,author::WdhKN0sAAAAJ
author::-gGGkMcAAAAJ,coauthored journal,author::WdhKN0sAAAAJ
author::7EQjv9wAAAAJ,coauthored journal,author::OffRzhoAAAAJ
author::OffRzhoAAAAJ,coauthored journal,author::WdhKN0sAAAAJ
author::OffRzhoAAAAJ,coauthored journal,author::t5f89iIAAAAJ
author::WdhKN0sAAAAJ,coauthored journal,author::t5f89iIAAAAJ
author::_n2j0ZAAAAAJ,coauthored journal,author::cPj-iOIAAAAJ
author::CxdwNaYAAAAJ,coauthored journal,author::cPj-iOIAAAAJ
author::CxdwNaYAAAAJ,coauthored conference,author::cPj-iOIAAAAJ
author::CxdwNaYAAAAJ,coauthored conference,author::t5f89iIAAAAJ
author::CxdwNaYAAAAJ,coauthored conference,author::yObeL8gAAAAJ
author::cPj-iOIAAAAJ,coauthored conference,author::t5f89iIAAAAJ
author::cPj-iOIAAAAJ,coauthored conference,author::yObeL8gAAAAJ
author::t5f89iIAAAAJ,coauthored conference,author::yObeL8gAAAAJ
author::Em3aIV0AAAAJ,coauthored journal,author::cPj-iOIAAAAJ
author::RvG7jG4AAAAJ,coauthored journal,author::fkxhjZ4AAAAJ
author::cPj-iOIAAAAJ,coauthored journal,author::fkxhjZ4AAAAJ
author::Em3aIV0AAAAJ,coauthored journal,author::RvG7jG4AAAAJ
author::RvG7jG4AAAAJ,coauthored conference,author::eEtHoOAAAAAJ
author::cPj-iOIAAAAJ,coauthored conference,author::eEtHoOAAAAAJ
author::IJIEntMAAAAJ,coauthored journal,author::YADiqesAAAAJ
author::IJIEntMAAAAJ,coauthored journal,author::cPj-iOIAAAAJ
author::YADiqesAAAAJ,coauthored journal,author::cPj-iOIAAAAJ
author::TB0QfMoAAAAJ,coauthored journal,author::cPj-iOIAAAAJ
author::1hm7MM8AAAAJ,coauthored journal,author::cPj-iOIAAAAJ
author::YADiqesAAAAJ,coauthored journal,author::ZBAnb64AAAAJ
author::ZBAnb64AAAAJ,coauthored journal,author::cPj-iOIAAAAJ
author::BIrtbD8AAAAJ,coauthored journal,author::IJIEntMAAAAJ
author::BIrtbD8AAAAJ,coauthored journal,author::YADiqesAAAAJ
author::BIrtbD8AAAAJ,coauthored journal,author::cPj-iOIAAAAJ
author::8wFXNjYAAAAJ,coauthored journal,author::cPj-iOIAAAAJ
author::IJIEntMAAAAJ,coauthored journal,author::RvG7jG4AAAAJ
author::BIrtbD8AAAAJ,coauthored journal,author::N6RJilIAAAAJ
author::IJIEntMAAAAJ,coauthored journal,author::N6RJilIAAAAJ
author::cPj-iOIAAAAJ,coauthored journal,author::nWPONc8AAAAJ
author::RvG7jG4AAAAJ,coauthored journal,author::XdEn69YAAAAJ
author::RvG7jG4AAAAJ,coauthored journal,author::cY1QGVEAAAAJ
author::RvG7jG4AAAAJ,coauthored journal,author::o4zdesUAAAAJ
author::8wFXNjYAAAAJ,coauthored journal,author::nbtuM4IAAAAJ
author::8wFXNjYAAAAJ,coauthored journal,author::yObeL8gAAAAJ
author::nbtuM4IAAAAJ,coauthored journal,author::yObeL8gAAAAJ
author::8wFXNjYAAAAJ,coauthored journal,author::Thp8jg0AAAAJ
author::Thp8jg0AAAAJ,coauthored journal,author::nbtuM4IAAAAJ
author::Thp8jg0AAAAJ,coauthored journal,author::yObeL8gAAAAJ
author::8wFXNjYAAAAJ,coauthored journal,author::S6IJ51cAAAAJ
author::8wFXNjYAAAAJ,coauthored journal,author::nWPONc8AAAAJ
author::S6IJ51cAAAAJ,coauthored journal,author::lFCI_vsAAAAJ
author::S6IJ51cAAAAJ,coauthored journal,author::nWPONc8AAAAJ
author::lFCI_vsAAAAJ,coauthored journal,author::nWPONc8AAAAJ
author::8wFXNjYAAAAJ,coauthored journal,author::tzjThtIAAAAJ
author::8wFXNjYAAAAJ,coauthored journal,author::DiBTIz4AAAAJ
author::DiBTIz4AAAAJ,coauthored journal,author::yObeL8gAAAAJ
author::CxdwNaYAAAAJ,coauthored journal,author::DiBTIz4AAAAJ
author::CxdwNaYAAAAJ,coauthored journal,author::yObeL8gAAAAJ
author::9BWyE0UAAAAJ,coauthored journal,author::A9L19RMAAAAJ
author::9BWyE0UAAAAJ,coauthored journal,author::Em3aIV0AAAAJ
author::9BWyE0UAAAAJ,coauthored journal,author::MnI3Tm0AAAAJ
author::9BWyE0UAAAAJ,coauthored journal,author::nbtuM4IAAAAJ
author::A9L19RMAAAAJ,coauthored journal,author::Em3aIV0AAAAJ
author::A9L19RMAAAAJ,coauthored journal,author::MnI3Tm0AAAAJ
author::A9L19RMAAAAJ,coauthored journal,author::nbtuM4IAAAAJ
author::Em3aIV0AAAAJ,coauthored journal,author::MnI3Tm0AAAAJ
author::Em3aIV0AAAAJ,coauthored journal,author::nbtuM4IAAAAJ
author::MnI3Tm0AAAAJ,coauthored journal,author::nbtuM4IAAAAJ
author::Em3aIV0AAAAJ,coauthored journal,author::cY1QGVEAAAAJ
author::Em3aIV0AAAAJ,coauthored journal,author::nyyfjCgAAAAJ
author::fkxhjZ4AAAAJ,coauthored journal,author::nyyfjCgAAAAJ
author::4d_6xxEAAAAJ,coauthored journal,author::Em3aIV0AAAAJ
author::4d_6xxEAAAAJ,coauthored journal,author::eEtHoOAAAAAJ
author::Em3aIV0AAAAJ,coauthored journal,author::eEtHoOAAAAAJ
author::Em3aIV0AAAAJ,coauthored journal,author::Hl6bqU8AAAAJ
author::4d_6xxEAAAAJ,coauthored journal,author::Hl6bqU8AAAAJ
author::4d_6xxEAAAAJ,coauthored journal,author::q24bD6AAAAAJ
author::Hl6bqU8AAAAJ,coauthored journal,author::q24bD6AAAAAJ
author::Em3aIV0AAAAJ,coauthored journal,author::ZBAnb64AAAAJ
author::ZBAnb64AAAAJ,coauthored journal,author::eEtHoOAAAAAJ
author::Em3aIV0AAAAJ,coauthored journal,author::Thp8jg0AAAAJ
author::fkxhjZ4AAAAJ,coauthored journal,author::wwhACXoAAAAJ
author::4d_6xxEAAAAJ,coauthored journal,author::fkxhjZ4AAAAJ
author::4d_6xxEAAAAJ,coauthored journal,author::psg8hdoAAAAJ
author::fkxhjZ4AAAAJ,coauthored journal,author::psg8hdoAAAAJ
author::fkxhjZ4AAAAJ,coauthored journal,author::nbtuM4IAAAAJ
author::nbtuM4IAAAAJ,coauthored journal,author::psg8hdoAAAAJ
author::XdEn69YAAAAJ,coauthored journal,author::fkxhjZ4AAAAJ
author::LeRoniwAAAAJ,coauthored journal,author::fkxhjZ4AAAAJ
author::LeRoniwAAAAJ,coauthored journal,author::WdhKN0sAAAAJ
author::5nAJx9wAAAAJ,coauthored journal,author::fkxhjZ4AAAAJ
author::CxdwNaYAAAAJ,coauthored journal,author::nyyfjCgAAAAJ
author::Jzuk6doAAAAJ,coauthored journal,author::VwvPnrcAAAAJ
author::Jzuk6doAAAAJ,coauthored journal,author::nyyfjCgAAAAJ
author::RES4QIQAAAAJ,coauthored journal,author::VwvPnrcAAAAJ
author::RES4QIQAAAAJ,coauthored journal,author::nyyfjCgAAAAJ
author::VwvPnrcAAAAJ,coauthored journal,author::nyyfjCgAAAAJ
author::Iq3gzh4AAAAJ,coauthored journal,author::nyyfjCgAAAAJ
author::-BuJoD0AAAAJ,coauthored journal,author::nyyfjCgAAAAJ
author::7EQjv9wAAAAJ,coauthored journal,author::LeRoniwAAAAJ
author::7EQjv9wAAAAJ,coauthored journal,author::fkxhjZ4AAAAJ
author::AjvtBWIAAAAJ,coauthored journal,author::LeRoniwAAAAJ
author::LeRoniwAAAAJ,coauthored journal,author::bTjH6IgAAAAJ
author::LeRoniwAAAAJ,coauthored journal,author::y_OiarcAAAAJ
author::Iq3gzh4AAAAJ,coauthored journal,author::LeRoniwAAAAJ
author::CxdwNaYAAAAJ,coauthored journal,author::XdEn69YAAAAJ
author::CxdwNaYAAAAJ,coauthored journal,author::q-sbahIAAAAJ
author::CxdwNaYAAAAJ,coauthored journal,author::hrVTt4kAAAAJ
author::XdEn69YAAAAJ,coauthored journal,author::hrVTt4kAAAAJ
author::CxdwNaYAAAAJ,coauthored journal,author::cY1QGVEAAAAJ
author::CxdwNaYAAAAJ,coauthored journal,author::nWPONc8AAAAJ
author::CxdwNaYAAAAJ,coauthored journal,author::DrE0Lf8AAAAJ
author::OffRzhoAAAAJ,coauthored journal,author::ZBAnb64AAAAJ
author::OffRzhoAAAAJ,coauthored journal,author::_VFGVQQAAAAJ
author::OffRzhoAAAAJ,coauthored journal,author::psg8hdoAAAAJ
author::ZBAnb64AAAAJ,coauthored journal,author::_VFGVQQAAAAJ
author::ZBAnb64AAAAJ,coauthored journal,author::psg8hdoAAAAJ
author::_VFGVQQAAAAJ,coauthored journal,author::psg8hdoAAAAJ
author::OffRzhoAAAAJ,coauthored journal,author::sHANI1gAAAAJ
author::OffRzhoAAAAJ,coauthored journal,author::eEtHoOAAAAAJ
author::-BuJoD0AAAAJ,coauthored journal,author::OffRzhoAAAAJ
author::OffRzhoAAAAJ,coauthored journal,author::o4zdesUAAAAJ
author::OffRzhoAAAAJ,coauthored journal,author::Thp8jg0AAAAJ
author::OffRzhoAAAAJ,coauthored journal,author::RvG7jG4AAAAJ
author::Jzuk6doAAAAJ,coauthored journal,author::cY1QGVEAAAAJ
author::Jzuk6doAAAAJ,coauthored journal,author::UL2-upoAAAAJ
author::Jzuk6doAAAAJ,coauthored journal,author::_n2j0ZAAAAAJ
author::Jzuk6doAAAAJ,coauthored journal,author::nWPONc8AAAAJ
author::Jzuk6doAAAAJ,coauthored journal,author::TB0QfMoAAAAJ
author::Jzuk6doAAAAJ,coauthored journal,author::XdEn69YAAAAJ
author::Jzuk6doAAAAJ,coauthored journal,author::MZCJPuIAAAAJ
author::JsEkeOsAAAAJ,coauthored journal,author::Jzuk6doAAAAJ
author::Jzuk6doAAAAJ,coauthored journal,author::p1pK7E4AAAAJ
author::TB0QfMoAAAAJ,coauthored journal,author::nWPONc8AAAAJ
author::TB0QfMoAAAAJ,coauthored journal,author::p1pK7E4AAAAJ
author::nWPONc8AAAAJ,coauthored journal,author::p1pK7E4AAAAJ
author::4d_6xxEAAAAJ,coauthored journal,author::Jzuk6doAAAAJ
author::6MXDzBQAAAAJ,coauthored journal,author::Jzuk6doAAAAJ
author::34CwHgkAAAAJ,coauthored journal,author::FZ00CQ8AAAAJ
author::34CwHgkAAAAJ,coauthored journal,author::XdEn69YAAAAJ
author::34CwHgkAAAAJ,coauthored journal,author::ZBAnb64AAAAJ
author::34CwHgkAAAAJ,coauthored journal,author::cY1QGVEAAAAJ
author::FZ00CQ8AAAAJ,coauthored journal,author::XdEn69YAAAAJ
author::FZ00CQ8AAAAJ,coauthored journal,author::ZBAnb64AAAAJ
author::FZ00CQ8AAAAJ,coauthored journal,author::cY1QGVEAAAAJ
author::XdEn69YAAAAJ,coauthored journal,author::ZBAnb64AAAAJ
author::XdEn69YAAAAJ,coauthored journal,author::cY1QGVEAAAAJ
author::ZBAnb64AAAAJ,coauthored journal,author::cY1QGVEAAAAJ
author::IJIEntMAAAAJ,coauthored journal,author::JsEkeOsAAAAJ
author::IJIEntMAAAAJ,coauthored journal,author::ZBAnb64AAAAJ
author::JsEkeOsAAAAJ,coauthored journal,author::ZBAnb64AAAAJ
author::LeRoniwAAAAJ,coauthored journal,author::ZBAnb64AAAAJ
author::MZCJPuIAAAAJ,coauthored journal,author::ZBAnb64AAAAJ
author::ZBAnb64AAAAJ,coauthored journal,author::wlGfsB0AAAAJ
author::ZBAnb64AAAAJ,coauthored journal,author::pb3-UjwAAAAJ
author::1hm7MM8AAAAJ,coauthored journal,author::eEtHoOAAAAAJ
author::2lw6P3IAAAAJ,coauthored journal,author::4d_6xxEAAAAJ
author::Jzuk6doAAAAJ,coauthored journal,author::psg8hdoAAAAJ
author::4d_6xxEAAAAJ,coauthored journal,author::ZBAnb64AAAAJ
author::4d_6xxEAAAAJ,coauthored journal,author::_n2j0ZAAAAAJ
author::Hl6bqU8AAAAJ,coauthored journal,author::_n2j0ZAAAAAJ
author::Hl6bqU8AAAAJ,coauthored journal,author::psg8hdoAAAAJ
author::_n2j0ZAAAAAJ,coauthored journal,author::psg8hdoAAAAJ
author::b81qaDkAAAAJ,coauthored journal,author::psg8hdoAAAAJ
author::psg8hdoAAAAJ,coauthored journal,author::yXy6kW0AAAAJ
author::S6IJ51cAAAAJ,coauthored journal,author::nbtuM4IAAAAJ
author::S6IJ51cAAAAJ,coauthored journal,author::psg8hdoAAAAJ
author::TB0QfMoAAAAJ,coauthored journal,author::psg8hdoAAAAJ
author::MZCJPuIAAAAJ,coauthored journal,author::psg8hdoAAAAJ
author::WdhKN0sAAAAJ,coauthored journal,author::psg8hdoAAAAJ
author::_VFGVQQAAAAJ,coauthored journal,author::hrVTt4kAAAAJ
author::_VFGVQQAAAAJ,coauthored journal,author::jPKU5cAAAAAJ
author::_VFGVQQAAAAJ,coauthored journal,author::nyyfjCgAAAAJ
author::hrVTt4kAAAAJ,coauthored journal,author::jPKU5cAAAAAJ
author::hrVTt4kAAAAJ,coauthored journal,author::nyyfjCgAAAAJ
author::jPKU5cAAAAAJ,coauthored journal,author::nyyfjCgAAAAJ
author::5nAJx9wAAAAJ,coauthored journal,author::_VFGVQQAAAAJ
author::_VFGVQQAAAAJ,coauthored journal,author::cPj-iOIAAAAJ
author::VwvPnrcAAAAJ,coauthored journal,author::XdEn69YAAAAJ
author::VwvPnrcAAAAJ,coauthored journal,author::ZjPpHWsAAAAJ
author::VwvPnrcAAAAJ,coauthored journal,author::hrVTt4kAAAAJ
author::XdEn69YAAAAJ,coauthored journal,author::ZjPpHWsAAAAJ
author::XdEn69YAAAAJ,coauthored journal,author::nyyfjCgAAAAJ
author::ZjPpHWsAAAAJ,coauthored journal,author::hrVTt4kAAAAJ
author::ZjPpHWsAAAAJ,coauthored journal,author::nyyfjCgAAAAJ
author::34CwHgkAAAAJ,coauthored journal,author::hrVTt4kAAAAJ
author::FZ00CQ8AAAAJ,coauthored journal,author::hrVTt4kAAAAJ
author::cY1QGVEAAAAJ,coauthored journal,author::hrVTt4kAAAAJ
author::-BuJoD0AAAAJ,coauthored journal,author::XdEn69YAAAAJ
author::LeRoniwAAAAJ,coauthored journal,author::XdEn69YAAAAJ
author::XdEn69YAAAAJ,coauthored journal,author::b81qaDkAAAAJ
author::ZjPpHWsAAAAJ,coauthored journal,author::cY1QGVEAAAAJ
author::6MXDzBQAAAAJ,coauthored journal,author::ZjPpHWsAAAAJ
author::LsydBAMAAAAJ,coauthored journal,author::YADiqesAAAAJ
author::YADiqesAAAAJ,coauthored journal,author::yObeL8gAAAAJ
author::FZ00CQ8AAAAJ,coauthored journal,author::VwvPnrcAAAAJ
author::FZ00CQ8AAAAJ,coauthored journal,author::qtFw9UMAAAAJ
author::VwvPnrcAAAAJ,coauthored journal,author::cY1QGVEAAAAJ
author::VwvPnrcAAAAJ,coauthored journal,author::qtFw9UMAAAAJ
author::cY1QGVEAAAAJ,coauthored journal,author::qtFw9UMAAAAJ
author::34CwHgkAAAAJ,coauthored journal,author::qtFw9UMAAAAJ
author::8wFXNjYAAAAJ,coauthored journal,author::qtFw9UMAAAAJ
author::MZCJPuIAAAAJ,coauthored journal,author::qtFw9UMAAAAJ
author::Iq3gzh4AAAAJ,coauthored journal,author::qtFw9UMAAAAJ
author::Hl6bqU8AAAAJ,coauthored journal,author::qtFw9UMAAAAJ
author::XdEn69YAAAAJ,coauthored journal,author::qtFw9UMAAAAJ
author::Smb2eg8AAAAJ,coauthored journal,author::qtFw9UMAAAAJ
author::5nAJx9wAAAAJ,coauthored journal,author::qtFw9UMAAAAJ
author::pb3-UjwAAAAJ,coauthored journal,author::qtFw9UMAAAAJ
author::_n2j0ZAAAAAJ,coauthored journal,author::q24bD6AAAAAJ
author::_n2j0ZAAAAAJ,coauthored journal,author::qtFw9UMAAAAJ
author::q24bD6AAAAAJ,coauthored journal,author::qtFw9UMAAAAJ
author::Thp8jg0AAAAJ,coauthored journal,author::qtFw9UMAAAAJ
author::6RBIukkAAAAJ,coauthored journal,author::qtFw9UMAAAAJ
author::N6RJilIAAAAJ,coauthored journal,author::qtFw9UMAAAAJ
author::JsEkeOsAAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::9BWyE0UAAAAJ,coauthored journal,author::cPj-iOIAAAAJ
author::9BWyE0UAAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::cPj-iOIAAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::p1pK7E4AAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::LsydBAMAAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::YADiqesAAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::Tp_X_bYAAAAJ,coauthored journal,author::sHANI1gAAAAJ
author::Tp_X_bYAAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::sHANI1gAAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::hjllQ9gAAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::yObeL8gAAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::sHANI1gAAAAJ,coauthored journal,author::yObeL8gAAAAJ
author::LsydBAMAAAAJ,coauthored journal,author::p1pK7E4AAAAJ
author::L6O1lvkAAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::6MXDzBQAAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::L6O1lvkAAAAJ,coauthored journal,author::LsydBAMAAAAJ
author::j8HRV1wAAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::S6IJ51cAAAAJ,coauthored journal,author::Tp_X_bYAAAAJ
author::S6IJ51cAAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::RES4QIQAAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::A9L19RMAAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::6MXDzBQAAAAJ,coauthored journal,author::j8HRV1wAAAAJ
author::WdhKN0sAAAAJ,coauthored journal,author::hjllQ9gAAAAJ
author::WdhKN0sAAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::N40Vh64AAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::nWPONc8AAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::L6O1lvkAAAAJ,coauthored journal,author::p1pK7E4AAAAJ
author::AYI1rosAAAAJ,coauthored journal,author::LsydBAMAAAAJ
author::AYI1rosAAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::UL2-upoAAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::hjllQ9gAAAAJ,coauthored journal,author::j8HRV1wAAAAJ
author::-BuJoD0AAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::b81qaDkAAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::6f4j4TYAAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::6MXDzBQAAAAJ,coauthored journal,author::L6O1lvkAAAAJ
author::ZjPpHWsAAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::pb3-UjwAAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::n7IAKI0AAAAJ,coauthored journal,author::z7RWDi0AAAAJ
author::Tp_X_bYAAAAJ,coauthored journal,author::YADiqesAAAAJ
